2332	404万	67	67	1	851	1289
2333	294万	51	51	1	851	1148
2334	373万	56	56	0	851	1292
2335	373万	54	54	1	851	1276
2336	305万	53	53	0	851	1219
2337	414万	59	59	1	852	1311
2338	313万	63	63	0	852	1315
2339	367万	52	52	1	852	1221
2340	352万	46	46	0	852	1242
2341	379万	61	61	0	852	1277
2342	292万	53	53	0	852	1204
2343	379万	55	55	0	852	1283
2344	291万	56	56	0	853	1157
2345	369万	58	58	1	853	1273
2346	329万	53	53	0	853	1323
2347	340万	37	37	0	853	1204
2348	331万	47	47	1	853	1218
2349	321万	40	40	1	853	1152
2350	321万	49	49	1	854	1271
2351	338万	63	63	0	854	1315
2352	327万	52	52	1	854	1241
2353	319万	60	60	1	854	1262
2354	307万	51	51	0	854	1131
2355	354万	67	67	1	854	1283
2356	390万	51	51	0	854	1222
2357	413万	60	61	0	854	1310
2358	326万	63	63	0	854	1248
2359	374万	71	71	0	854	1330
2360	342万	63	63	0	854	1317
2361	390万	65	65	0	855	1309
2362	409万	59	59	0	855	1287
2363	350万	68	68	0	855	1269
2364	414万	71	71	1	856	1327
2365	353万	64	64	0	856	1379
2366	325万	64	64	0	856	1288
2367	348万	48	48	0	856	1279
2368	376万	38	38	0	856	1152
2369	376万	54	54	0	856	1290
2370	434万	54	54	1	856	1205
2371	346万	60	60	1	856	1264
2372	385万	50	50	1	857	1246
2373	379万	68	68	1	857	1325
2374	335万	45	45	0	857	1227
2375	349万	51	51	0	857	1242
2376	399万	63	63	0	857	1296
2377	342万	50	50	0	857	1242
2378	392万	67	67	0	857	1303
2379	346万	51	51	1	858	1211
2380	331万	65	65	0	858	1325
2381	370万	60	60	0	858	1280
2382	346万	54	54	0	858	1291
2383	316万	47	47	0	859	1134
2384	338万	61	61	0	859	1248
2385	404万	55	55	0	859	1276
2386	374万	61	61	0	859	1290
2387	341万	54	54	0	859	1305
2388	362万	58	58	0	859	1268
2389	430万	67	67	0	859	1297
2390	346万	55	55	1	859	1248
2391	404万	56	56	3	860	1299
2392	372万	60	60	1	860	1303
2393	435万	61	61	1	860	1285
2394	375万	55	55	1	860	1281
2395	353万	59	59	0	860	1263
2396	394万	65	65	0	860	1302
